                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.99621,                0.93563,                 1.3043,                0.66283,                0.72727,                 0.6687,                0.52539,                 1.0234,                 1.6285,                 1.4516,              0.0003764,              0.0003764,              0.0003764
                     84,                  1.188,                 1.0289,                 1.4662,                0.66243,                0.72727,                0.63367,                0.51759,                 1.0309,                 1.6862,                 1.4355,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.1471,                 1.0853,                 1.4509,                0.66243,                0.72727,                0.63367,                0.51759,                 1.0309,                 1.6862,                 1.4355,              0.0003368,              0.0003368,              0.0003368
                     86,                0.97155,                0.88997,                 1.3119,                0.66037,                0.72727,                0.60913,                0.48851,                  1.073,                 1.6662,                 1.4465,               0.000317,               0.000317,               0.000317
                     87,                 1.0492,                 0.9632,                 1.3361,                0.65907,                0.72727,                0.60092,                0.47915,                 1.0852,                 1.6675,                 1.4438,              0.0002972,              0.0002972,              0.0002972
                     88,                  1.101,                0.97873,                 1.4328,                0.65907,                0.72727,                0.60092,                0.47915,                 1.0852,                 1.6675,                 1.4438,              0.0002774,              0.0002774,              0.0002774
                     89,                0.99975,                0.95352,                 1.3537,                0.65807,                0.72727,                0.57749,                0.45777,                 1.0288,                 1.7073,                 1.4112,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.0369,                0.90952,                 1.3281,                0.65807,                0.72727,                0.57749,                0.45777,                 1.0288,                 1.7073,                 1.4112,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.0309,                 1.2246,                 1.4117,                0.64415,                0.72727,                0.58225,                0.47823,                0.99605,                 1.6171,                 1.3881,               0.000218,               0.000218,               0.000218
                     92,                0.98516,                 1.0371,                 1.3729,                0.65287,                0.72727,                0.65411,                0.51807,                0.97783,                 1.3768,                 1.3462,              0.0001982,              0.0001982,              0.0001982
                     93,                0.97684,                 1.0278,                 1.3968,                0.65287,                0.72727,                0.65411,                0.51807,                0.97783,                 1.3768,                 1.3462,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.0515,                 1.0086,                 1.5071,                0.59642,                0.80679,                0.68526,                0.52765,                0.92455,                 1.2307,                 1.3062,              0.0001586,              0.0001586,              0.0001586
                     95,                0.93273,                 1.0062,                  1.352,                0.65119,                0.72727,                0.70267,                0.56436,                0.89045,                 1.1272,                 1.2819,              0.0001388,              0.0001388,              0.0001388
                     96,                0.87981,                0.85144,                 1.2505,                0.65119,                0.72727,                0.70267,                0.56436,                0.89045,                 1.1272,                 1.2819,               0.000119,               0.000119,               0.000119
                     97,                0.97221,                0.87624,                 1.3857,                  0.639,                 0.8054,                0.71486,                0.57581,                0.87218,                 1.0661,                 1.2753,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.86267,                0.85333,                 1.3132,                  0.639,                 0.8054,                0.71486,                0.57581,                0.87218,                 1.0661,                 1.2753,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 0.9196,                0.87474,                 1.3378,                0.75173,                0.63636,                0.71314,                0.58241,                0.84905,                 1.0371,                 1.2641,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 0.9449,                0.91732,                 1.4044,                0.61412,                0.86953,                 0.7287,                 0.5953,                0.84119,                 1.0056,                 1.2602,               3.98e-05,               3.98e-05,               3.98e-05
